username, created_at, lng, lat, text
Catalina1016, Wed Jan 20 23:58:31 +0000 2021, -121.375689, 38.604033, @NicholasFerroni I couldn’t sleep last night and just had the most peaceful nap ever 
theconfidentboy, Wed Jan 20 23:58:31 +0000 2021, -83.099288, 42.352787, i love this. 
NinoDePeligro, Wed Jan 20 23:58:31 +0000 2021, -85.565688, 42.290524, @good_spatula It’s crazy how hard she’s gonna laugh when she does it 
felixnpadron, Wed Jan 20 23:58:31 +0000 2021, -98.540651, 29.417501, Safe To Get Down? #paperboy #APlaceWithNoName #inaguration2021 https://t.co/27DwkPADBO https://t.co/b3RqW8xzH9 
mynameisneil44, Wed Jan 20 23:58:32 +0000 2021, -98.540651, 29.417501, @ArtPinee Don’t forget that chicken katsu 
Maurice16418903, Wed Jan 20 23:58:31 +0000 2021, -85.812235, 33.678802, When no one is watching..... WE WORKING... off season is where the work STARTS ❗️ https://t.co/F5Az8V9xZ6 
LeftCrewPolitic, Wed Jan 20 23:58:32 +0000 2021, -118.411907, 34.020789, What a joke. 
KenAlter, Wed Jan 20 23:58:32 +0000 2021, -83.030573, 42.581306, @marcthiessen @BillHemmer Glad to see it!  I’m tired of always taking heat for my ever-present, versatile, comfy an… https://t.co/qfOrnprtu1 
everett_ahlberg, Wed Jan 20 23:58:32 +0000 2021, -81.283121, 28.784184, Want to thank Charles Brown for the opportunity to play for the Canes Florida 16u Prime. Looking forward to gettin’… https://t.co/7LzTVAn116 
KiaraJeveux, Wed Jan 20 23:58:32 +0000 2021, -71.088712, 42.313670, @Jp_Lickss I made a bunch of mini ones I’m obsessed 
kentakinte, Wed Jan 20 23:58:32 +0000 2021, -100.076888, 31.168893, ... still do 
kathrynicloud1, Wed Jan 20 23:58:32 +0000 2021, -70.617168, 42.658947, @amyklobuchar Great works thank you 🙏🏽 
cash_bunny2, Wed Jan 20 23:58:32 +0000 2021, -118.411907, 34.020789, @heavensentz Thanks mami! 💞💞💞 
allstar930, Wed Jan 20 23:58:32 +0000 2021, -122.228685, 37.791994, @Eve6 Fuck Donald Trump 
JohnaBeGood, Wed Jan 20 23:58:32 +0000 2021, -83.857519, 36.124791, 🤣🤣 
tmj_TX_gensci, Wed Jan 20 23:58:32 +0000 2021, -94.655070, 31.603230, IBM is hiring in #Nacogdoches, TX! Read about our latest #GeneralScience job opening via the link in our bio: Healt… https://t.co/fPeYalwc9w 
shaneriderMA, Wed Jan 20 23:58:32 +0000 2021, -71.566171, 44.001230, @ComfortablySmug Minions, stand by and stand down. 
444kimtea, Wed Jan 20 23:58:32 +0000 2021, -118.018856, 33.975918, RAYSHAWN BYE 💀💀 
drekoglobal, Wed Jan 20 23:58:33 +0000 2021, -118.411907, 34.020789, this the only warning I’m giving.. friday do not piss me off 
futura_will, Wed Jan 20 23:58:33 +0000 2021, -97.445173, 35.222301, @ChinatownMarket Sir Douglas seriously needs an upgrade to his food bowl.... and he also wanted me to mention that… https://t.co/R8oq4wCe1Q 
